ticker,date,source
3402.T,2006-11-07,yfinance
3402.T,2007-05-09,yfinance
3402.T,2008-05-09,yfinance
3402.T,2008-08-06,yfinance
3402.T,2008-11-06,yfinance
3402.T,2009-02-05,yfinance
3402.T,2009-05-11,yfinance
3402.T,2009-08-07,yfinance
3402.T,2009-11-05,yfinance
3402.T,2010-02-04,yfinance
3402.T,2010-05-10,yfinance
3402.T,2010-08-06,yfinance
3402.T,2010-11-03,yfinance
3402.T,2011-02-03,yfinance
3402.T,2011-05-09,yfinance
3402.T,2011-08-03,yfinance
3402.T,2011-11-01,yfinance
3402.T,2012-02-06,yfinance
3402.T,2012-05-07,yfinance
3402.T,2012-08-05,yfinance
3402.T,2012-11-06,yfinance
3402.T,2013-02-06,yfinance
3402.T,2013-05-10,yfinance
3402.T,2013-08-06,yfinance
3402.T,2013-11-06,yfinance
3402.T,2014-02-05,yfinance
3402.T,2014-05-07,yfinance
3402.T,2014-08-06,yfinance
3402.T,2014-11-05,yfinance
3402.T,2015-02-04,yfinance
3402.T,2015-05-07,yfinance
3402.T,2015-08-06,yfinance
3402.T,2015-11-09,yfinance
3402.T,2016-02-08,yfinance
3402.T,2016-05-11,yfinance
3402.T,2016-08-05,yfinance
3402.T,2016-11-08,yfinance
3402.T,2017-02-09,yfinance
3402.T,2017-05-10,yfinance
3402.T,2017-08-07,yfinance
3402.T,2017-11-09,yfinance
3402.T,2018-02-08,yfinance
3402.T,2018-05-10,yfinance
3402.T,2018-08-06,yfinance
3402.T,2018-11-08,yfinance
3402.T,2019-02-07,yfinance
3402.T,2019-05-14,yfinance
3402.T,2019-08-08,yfinance
3402.T,2019-11-07,yfinance
3402.T,2020-02-09,yfinance
3402.T,2020-05-28,yfinance
3402.T,2020-08-07,yfinance
3402.T,2020-11-05,yfinance
3402.T,2021-02-08,yfinance
3402.T,2021-05-13,yfinance
3402.T,2021-08-03,yfinance
3402.T,2021-11-08,yfinance
3402.T,2022-02-08,yfinance
3402.T,2022-05-13,yfinance
3402.T,2022-08-08,yfinance
3402.T,2022-11-07,yfinance
3402.T,2023-02-07,yfinance
3402.T,2023-05-11,yfinance
3402.T,2023-08-06,yfinance
3402.T,2023-11-07,yfinance
3402.T,2024-02-07,yfinance
3402.T,2024-05-12,yfinance
3402.T,2024-08-07,yfinance
3402.T,2024-11-06,yfinance
3402.T,2025-02-11,yfinance
3402.T,2025-05-13,yfinance
3402.T,2025-08-07,yfinance
3402.T,2025-11-13,yfinance
3402.T,2026-02-09,yfinance
3402.T,2026-05-12,yfinance
3402.T,2026-08-06,yfinance
ASC.L,2026-11-03,yfinance
HM-B.ST,2004-09-30,yfinance
HM-B.ST,2005-01-28,yfinance
HM-B.ST,2005-04-06,yfinance
HM-B.ST,2005-06-22,yfinance
HM-B.ST,2005-09-28,yfinance
HM-B.ST,2006-01-26,yfinance
HM-B.ST,2006-03-29,yfinance
HM-B.ST,2006-06-21,yfinance
HM-B.ST,2006-09-27,yfinance
HM-B.ST,2007-01-25,yfinance
HM-B.ST,2007-03-28,yfinance
HM-B.ST,2007-06-20,yfinance
HM-B.ST,2007-09-26,yfinance
HM-B.ST,2008-01-31,yfinance
HM-B.ST,2008-03-27,yfinance
HM-B.ST,2008-06-18,yfinance
HM-B.ST,2008-09-30,yfinance
HM-B.ST,2009-01-29,yfinance
HM-B.ST,2009-03-26,yfinance
HM-B.ST,2009-06-25,yfinance
HM-B.ST,2009-09-24,yfinance
HM-B.ST,2010-01-28,yfinance
HM-B.ST,2010-04-08,yfinance
HM-B.ST,2010-06-24,yfinance
HM-B.ST,2010-09-29,yfinance
HM-B.ST,2011-01-27,yfinance
HM-B.ST,2011-03-31,yfinance
HM-B.ST,2011-06-22,yfinance
HM-B.ST,2011-09-29,yfinance
HM-B.ST,2012-01-26,yfinance
HM-B.ST,2012-03-29,yfinance
HM-B.ST,2012-09-27,yfinance
HM-B.ST,2013-01-30,yfinance
HM-B.ST,2013-03-21,yfinance
HM-B.ST,2013-06-19,yfinance
HM-B.ST,2013-09-26,yfinance
HM-B.ST,2014-01-30,yfinance
HM-B.ST,2014-03-27,yfinance
HM-B.ST,2014-06-18,yfinance
HM-B.ST,2014-09-25,yfinance
HM-B.ST,2015-01-28,yfinance
HM-B.ST,2015-03-24,yfinance
HM-B.ST,2015-06-25,yfinance
HM-B.ST,2015-09-24,yfinance
HM-B.ST,2016-01-27,yfinance
HM-B.ST,2016-04-06,yfinance
HM-B.ST,2016-06-22,yfinance
HM-B.ST,2016-09-30,yfinance
HM-B.ST,2017-01-31,yfinance
HM-B.ST,2017-03-30,yfinance
HM-B.ST,2017-06-29,yfinance
HM-B.ST,2017-09-28,yfinance
HM-B.ST,2018-01-31,yfinance
HM-B.ST,2018-03-27,yfinance
HM-B.ST,2018-06-28,yfinance
HM-B.ST,2018-09-27,yfinance
HM-B.ST,2019-01-31,yfinance
HM-B.ST,2019-03-29,yfinance
HM-B.ST,2019-06-27,yfinance
HM-B.ST,2019-10-03,yfinance
HM-B.ST,2020-01-30,yfinance
HM-B.ST,2020-04-03,yfinance
HM-B.ST,2020-06-26,yfinance
HM-B.ST,2020-10-01,yfinance
HM-B.ST,2021-03-31,yfinance
HM-B.ST,2021-04-06,yfinance
HM-B.ST,2021-07-01,yfinance
HM-B.ST,2021-09-30,yfinance
HM-B.ST,2022-01-28,yfinance
HM-B.ST,2022-03-31,yfinance
HM-B.ST,2022-06-29,yfinance
HM-B.ST,2022-09-29,yfinance
HM-B.ST,2023-01-27,yfinance
HM-B.ST,2023-03-30,yfinance
HM-B.ST,2023-06-29,yfinance
HM-B.ST,2023-09-27,yfinance
HM-B.ST,2024-01-31,yfinance
HM-B.ST,2024-03-27,yfinance
HM-B.ST,2024-06-27,yfinance
HM-B.ST,2024-09-26,yfinance
HM-B.ST,2025-01-30,yfinance
HM-B.ST,2025-03-27,yfinance
HM-B.ST,2025-06-26,yfinance
HM-B.ST,2025-09-25,yfinance
HM-B.ST,2026-01-29,yfinance
HM-B.ST,2026-03-26,yfinance
HM-B.ST,2026-06-25,yfinance
HM-B.ST,2026-09-24,yfinance
IVL.BK,2010-11-10,yfinance
IVL.BK,2011-02-22,yfinance
IVL.BK,2011-05-18,yfinance
IVL.BK,2011-11-09,yfinance
IVL.BK,2012-02-22,yfinance
IVL.BK,2012-05-11,yfinance
IVL.BK,2012-08-14,yfinance
IVL.BK,2012-11-14,yfinance
IVL.BK,2013-02-22,yfinance
IVL.BK,2013-05-15,yfinance
IVL.BK,2013-08-08,yfinance
IVL.BK,2013-11-08,yfinance
IVL.BK,2014-05-12,yfinance
IVL.BK,2014-08-05,yfinance
IVL.BK,2014-11-10,yfinance
IVL.BK,2015-02-21,yfinance
IVL.BK,2015-05-11,yfinance
IVL.BK,2015-08-07,yfinance
IVL.BK,2015-11-12,yfinance
IVL.BK,2016-02-19,yfinance
IVL.BK,2016-05-10,yfinance
IVL.BK,2016-08-10,yfinance
IVL.BK,2016-11-10,yfinance
IVL.BK,2017-02-17,yfinance
IVL.BK,2017-05-08,yfinance
IVL.BK,2017-08-09,yfinance
IVL.BK,2017-11-09,yfinance
IVL.BK,2018-02-20,yfinance
IVL.BK,2018-05-10,yfinance
IVL.BK,2018-08-06,yfinance
IVL.BK,2018-11-08,yfinance
IVL.BK,2019-02-26,yfinance
IVL.BK,2019-05-07,yfinance
IVL.BK,2019-08-08,yfinance
IVL.BK,2019-11-11,yfinance
IVL.BK,2020-02-26,yfinance
IVL.BK,2020-05-12,yfinance
IVL.BK,2020-08-13,yfinance
IVL.BK,2020-11-09,yfinance
IVL.BK,2021-02-25,yfinance
IVL.BK,2021-05-06,yfinance
IVL.BK,2021-08-05,yfinance
IVL.BK,2021-11-05,yfinance
IVL.BK,2022-02-27,yfinance
IVL.BK,2022-05-13,yfinance
IVL.BK,2022-08-11,yfinance
IVL.BK,2022-11-10,yfinance
IVL.BK,2023-02-24,yfinance
IVL.BK,2023-05-09,yfinance
IVL.BK,2023-08-11,yfinance
IVL.BK,2023-11-14,yfinance
IVL.BK,2024-05-10,yfinance
IVL.BK,2024-08-09,yfinance
IVL.BK,2024-11-11,yfinance
IVL.BK,2025-02-26,yfinance
IVL.BK,2025-05-09,yfinance
IVL.BK,2025-08-14,yfinance
IVL.BK,2025-11-11,yfinance
IVL.BK,2026-03-02,yfinance
IVL.BK,2026-04-29,yfinance
IVL.BK,2026-08-13,yfinance
LNZ.VI,2011-08-23,yfinance
LNZ.VI,2011-11-15,yfinance
LNZ.VI,2012-03-02,yfinance
LNZ.VI,2013-03-22,yfinance
LNZ.VI,2013-11-14,yfinance
LNZ.VI,2014-05-15,yfinance
LNZ.VI,2014-08-21,yfinance
LNZ.VI,2014-11-13,yfinance
LNZ.VI,2015-03-24,yfinance
LNZ.VI,2015-05-18,yfinance
LNZ.VI,2015-08-25,yfinance
LNZ.VI,2015-11-12,yfinance
LNZ.VI,2016-03-23,yfinance
LNZ.VI,2016-08-24,yfinance
LNZ.VI,2017-05-16,yfinance
LNZ.VI,2017-11-15,yfinance
LNZ.VI,2018-05-09,yfinance
LNZ.VI,2019-03-14,yfinance
LNZ.VI,2019-05-08,yfinance
LNZ.VI,2019-08-07,yfinance
LNZ.VI,2020-05-06,yfinance
LNZ.VI,2020-08-05,yfinance
