retailer,material,lag_months,adoption_coef,r,n_obs
asos,cashmere,,,,29
asos,cotton,0.0,2.033696287425762,0.22166924578842015,29
asos,denim,4.0,4.144902964302113,0.43605428690875536,29
asos,elastane,11.0,0.13651865812478048,0.19219261317726755,29
asos,leather,11.0,0.3523191297584412,0.24800308189056322,29
asos,linen,0.0,0.5784193490076661,0.20982361712950234,29
asos,nylon,5.0,0.6069363427344812,0.19224513944172097,29
asos,polyester,1.0,0.8319626548110931,0.3594845922723974,29
asos,silk,,,,29
asos,technical,4.0,0.938616248989069,0.4910453046623645,29
asos,viscose,4.0,0.050392035825653464,0.05961219898801478,29
asos,wool,5.0,0.027286784818391745,0.30171217751647755,29
hm,cashmere,11.0,0.4593985195181304,0.3405277242355773,38
hm,cotton,5.0,2.6931908196501904,0.19068802742659763,40
hm,denim,4.0,1.8380367760859777,0.17251521216838697,41
hm,elastane,6.0,0.13855667288586335,0.2218765695295229,39
hm,leather,12.0,0.1431521036579053,0.17987231316879837,38
hm,linen,1.0,7.9636956600998765,0.08940804205086494,42
hm,nylon,11.0,0.6946288877016824,0.1911592989995241,38
hm,polyester,12.0,0.40801146631896096,0.18842786367484607,38
hm,silk,8.0,-0.052368110280566815,-0.04492525861394762,38
hm,technical,11.0,0.12415156880224947,0.07571016838788869,38
hm,viscose,4.0,-0.02673975351841211,-0.02263193934463395,41
hm,wool,6.0,0.1421862369454165,0.4040349579748387,39
uniqlo,cashmere,,,,2
uniqlo,cotton,,,,2
uniqlo,denim,,,,2
uniqlo,elastane,,,,2
uniqlo,leather,,,,2
uniqlo,linen,,,,2
uniqlo,nylon,,,,2
uniqlo,polyester,,,,2
uniqlo,silk,,,,2
uniqlo,technical,,,,2
uniqlo,viscose,,,,2
uniqlo,wool,,,,2
zara,cashmere,,,,1
zara,cotton,,,,1
zara,denim,,,,1
zara,elastane,,,,1
zara,leather,,,,1
zara,linen,,,,1
zara,nylon,,,,1
zara,polyester,,,,1
zara,silk,,,,1
zara,technical,,,,1
zara,viscose,,,,1
zara,wool,,,,1
