hop,entity,material,lag_months,r,adoption_coef,n_obs,fit_end
1,hm,cashmere,12,0.4418,0.6897,17,2019-12-31
1,hm,cotton,5,0.3597,6.051,17,2019-12-31
1,hm,denim,11,0.4321,14.6411,17,2019-12-31
1,hm,elastane,8,0.3797,0.3189,17,2019-12-31
1,hm,leather,7,0.6011,0.457,17,2019-12-31
1,hm,linen,6,0.3493,7.5897,17,2019-12-31
1,hm,nylon,11,0.2174,1.9827,17,2019-12-31
1,hm,polyester,12,0.1961,0.5737,17,2019-12-31
1,hm,technical,5,0.225,1.4007,17,2019-12-31
1,hm,viscose,3,0.3362,0.7777,17,2019-12-31
1,hm,wool,2,0.3883,0.1966,17,2019-12-31
2,TRENDS,cashmere,5,0.4791,80.7986,42,2019-12-31
2,TRENDS,cotton,4,0.7105,62.6371,42,2019-12-31
2,TRENDS,denim,0,0.0994,19.4195,42,2019-12-31
2,TRENDS,leather,5,0.7423,41.1064,42,2019-12-31
2,TRENDS,linen,5,0.5518,393.1723,42,2019-12-31
2,TRENDS,nylon,4,0.591,2.5847,25,2019-12-31
2,TRENDS,polyester,12,0.2461,5.4414,42,2019-12-31
2,TRENDS,silk,2,0.4722,54.9797,42,2019-12-31
2,TRENDS,viscose,4,0.5111,11.5099,42,2019-12-31
2,TRENDS,wool,5,0.7122,16.3155,42,2019-12-31
