hop,entity,material,lag_months,r,adoption_coef,n_obs,fit_end
1,asos,cotton,0,0.2289,2.1355,25,2022-12-31
1,asos,denim,4,0.5032,5.3655,25,2022-12-31
1,asos,elastane,4,0.1669,0.1086,25,2022-12-31
1,asos,leather,11,0.3223,0.4881,25,2022-12-31
1,asos,linen,0,0.4361,1.4974,25,2022-12-31
1,asos,nylon,5,0.143,0.5013,25,2022-12-31
1,asos,polyester,1,0.3581,0.8249,25,2022-12-31
1,asos,technical,4,0.4448,0.8572,25,2022-12-31
1,asos,viscose,4,0.1765,0.1709,25,2022-12-31
1,asos,wool,5,0.3042,0.0301,25,2022-12-31
1,hm,cashmere,11,0.3397,0.4611,38,2022-12-31
1,hm,cotton,5,0.221,3.2516,38,2022-12-31
1,hm,denim,8,0.1,1.2391,38,2022-12-31
1,hm,elastane,6,0.2262,0.1471,38,2022-12-31
1,hm,leather,12,0.1447,0.1214,38,2022-12-31
1,hm,linen,10,0.0119,0.9406,38,2022-12-31
1,hm,nylon,11,0.2548,1.3016,38,2022-12-31
1,hm,polyester,12,0.2207,0.4648,38,2022-12-31
1,hm,silk,8,-0.0722,-0.0845,38,2022-12-31
1,hm,technical,9,0.0826,0.3239,38,2022-12-31
1,hm,viscose,4,-0.0362,-0.0499,38,2022-12-31
1,hm,wool,6,0.2708,0.1021,38,2022-12-31
2,TRENDS,cashmere,5,0.3879,69.9027,78,2022-12-31
2,TRENDS,cotton,4,0.5108,47.2705,78,2022-12-31
2,TRENDS,denim,10,0.2779,29.1218,78,2022-12-31
2,TRENDS,leather,5,0.4991,21.361,78,2022-12-31
2,TRENDS,linen,5,0.3222,329.8281,78,2022-12-31
2,TRENDS,nylon,9,0.6807,4.2476,43,2022-12-31
2,TRENDS,polyester,3,0.5429,13.0697,78,2022-12-31
2,TRENDS,silk,2,0.3421,63.7275,78,2022-12-31
2,TRENDS,viscose,5,0.4739,10.4597,78,2022-12-31
2,TRENDS,wool,5,0.6091,11.4866,78,2022-12-31
3,IVL.BK,polyester,6,0.5902,0.0721,23,2022-12-31
3,3402.T,polyester,2,0.251,0.0166,27,2022-12-31
3,RELIANCE.NS,polyester,0,0.234,0.0215,29,2022-12-31
3,CL=F,polyester,2,0.173,0.0524,27,2022-12-31
3,3402.T,nylon,1,0.1336,0.0083,28,2022-12-31
3,CL=F,nylon,5,0.4099,0.1209,24,2022-12-31
3,3402.T,technical,2,0.3269,0.0365,27,2022-12-31
3,LNZ.VI,viscose,0,0.2148,0.0367,29,2022-12-31
3,CT=F,cotton,5,0.2415,0.0442,24,2022-12-31
3,CT=F,denim,2,0.1809,0.0183,27,2022-12-31
3,LE=F,leather,6,0.2509,0.0083,23,2022-12-31
