look_id,model,tagged_at
celine|FW2015|001,gemini-2.5-flash,2026-07-02
celine|FW2015|002,gemini-2.5-flash,2026-07-02
celine|FW2015|003,gemini-2.5-flash,2026-07-02
celine|FW2015|004,gemini-2.5-flash,2026-07-02
celine|FW2015|005,gemini-2.5-flash,2026-07-02
celine|FW2015|006,gemini-2.5-flash,2026-07-02
celine|FW2015|007,gemini-2.5-flash,2026-07-02
celine|FW2015|008,gemini-2.5-flash,2026-07-02
celine|FW2015|009,gemini-2.5-flash,2026-07-02
celine|FW2015|010,gemini-2.5-flash,2026-07-02
celine|FW2015|011,gemini-2.5-flash,2026-07-02
celine|FW2015|012,gemini-2.5-flash,2026-07-02
celine|FW2015|013,gemini-2.5-flash,2026-07-02
celine|FW2015|014,gemini-2.5-flash,2026-07-02
celine|FW2015|015,gemini-2.5-flash,2026-07-02
celine|FW2015|017,gemini-2.5-flash,2026-07-02
celine|FW2015|018,gemini-2.5-flash,2026-07-02
celine|FW2015|019,gemini-2.5-flash,2026-07-02
alexander-mcqueen|FW2015|001,gemini-2.5-flash-lite,2026-07-02
alexander-mcqueen|FW2015|002,gemini-2.5-flash-lite,2026-07-02
alexander-mcqueen|FW2015|004,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|005,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|006,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|007,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|008,pixtral-12b-2409,2026-07-02
alexander-mcqueen|FW2015|009,pixtral-12b-2409,2026-07-02
alexander-mcqueen|FW2015|010,pixtral-12b-2409,2026-07-02
alexander-mcqueen|FW2015|011,pixtral-12b-2409,2026-07-02
alexander-mcqueen|FW2015|012,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|013,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|014,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|015,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|016,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|017,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|018,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|019,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|020,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|021,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|022,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|023,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
alexander-mcqueen|FW2015|024,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-02
