look_id,material,share
alexander-mcqueen|FW2015|001,leather,0.1
alexander-mcqueen|FW2015|001,polyester,0.9
alexander-mcqueen|FW2015|002,polyester,0.3
alexander-mcqueen|FW2015|002,cotton,0.7
alexander-mcqueen|FW2015|003,leather,0.1
alexander-mcqueen|FW2015|003,nylon,0.3
alexander-mcqueen|FW2015|003,polyester,0.6
alexander-mcqueen|FW2015|004,leather,0.5
alexander-mcqueen|FW2015|004,other,0.5
alexander-mcqueen|FW2015|005,polyester,0.6
alexander-mcqueen|FW2015|005,silk,0.4
alexander-mcqueen|FW2015|006,leather,1.0
alexander-mcqueen|FW2015|007,leather,1.0
alexander-mcqueen|FW2015|008,other,0.05
alexander-mcqueen|FW2015|008,technical,0.95
alexander-mcqueen|FW2015|009,leather,0.95
alexander-mcqueen|FW2015|009,elastane,0.05
alexander-mcqueen|FW2015|010,other,0.15
alexander-mcqueen|FW2015|010,technical,0.85
alexander-mcqueen|FW2015|011,viscose,0.1
alexander-mcqueen|FW2015|011,leather,0.2
alexander-mcqueen|FW2015|011,technical,0.7
alexander-mcqueen|FW2015|012,leather,0.83
alexander-mcqueen|FW2015|012,polyester,0.17
alexander-mcqueen|FW2015|013,leather,1.0
alexander-mcqueen|FW2015|014,cotton,1.0
alexander-mcqueen|FW2015|015,cotton,1.0
alexander-mcqueen|FW2015|016,cotton,1.0
alexander-mcqueen|FW2015|017,cotton,1.0
alexander-mcqueen|FW2015|018,cotton,1.0
alexander-mcqueen|FW2015|019,cotton,1.0
alexander-mcqueen|FW2015|020,linen,1.0
alexander-mcqueen|FW2015|021,polyester,0.4
alexander-mcqueen|FW2015|021,leather,0.6
alexander-mcqueen|FW2015|022,polyester,0.5
alexander-mcqueen|FW2015|022,cotton,0.5
alexander-mcqueen|FW2015|023,polyester,0.5
alexander-mcqueen|FW2015|023,other,0.5
alexander-mcqueen|FW2015|024,cotton,0.5
alexander-mcqueen|FW2015|024,linen,0.5
alexander-mcqueen|FW2015|025,polyester,1.0
alexander-mcqueen|FW2015|026,polyester,0.5
