date,material,nowcast_z,direction,tickers
2016-07-01,cotton,2.7639,long,CT=F
2016-07-01,denim,0.3704,flat,CT=F
2016-07-01,leather,-0.874,flat,LE=F
2016-07-01,nylon,0.4282,flat,3402.T;CL=F
2016-07-01,polyester,1.1328,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2016-07-01,technical,,flat,3402.T
2016-07-01,viscose,0.677,flat,LNZ.VI
2016-08-01,cotton,1.1547,long,CT=F
2016-08-01,denim,0.7416,flat,CT=F
2016-08-01,leather,-0.9554,flat,LE=F
2016-08-01,nylon,0.2887,flat,3402.T;CL=F
2016-08-01,polyester,0.9574,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2016-08-01,technical,,flat,3402.T
2016-08-01,viscose,0.677,flat,LNZ.VI
2016-09-01,cotton,-0.6171,flat,CT=F
2016-09-01,denim,1.141,long,CT=F
2016-09-01,leather,-1.0499,short,LE=F
2016-09-01,nylon,,flat,3402.T;CL=F
2016-09-01,polyester,0.8092,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2016-09-01,technical,,flat,3402.T
2016-09-01,viscose,0.677,flat,LNZ.VI
2016-10-01,cotton,-0.6171,flat,CT=F
2016-10-01,denim,4.3921,long,CT=F
2016-10-01,leather,0.6793,flat,LE=F
2016-10-01,nylon,,flat,3402.T;CL=F
2016-10-01,polyester,0.677,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2016-10-01,technical,,flat,3402.T
2016-10-01,viscose,0.677,flat,LNZ.VI
2016-11-01,cotton,-0.6171,flat,CT=F
2016-11-01,denim,2.5502,long,CT=F
2016-11-01,leather,1.5765,long,LE=F
2016-11-01,nylon,,flat,3402.T;CL=F
2016-11-01,polyester,0.5528,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2016-11-01,technical,,flat,3402.T
2016-11-01,viscose,0.677,flat,LNZ.VI
2016-12-01,cotton,-0.6171,flat,CT=F
2016-12-01,denim,1.5797,long,CT=F
2016-12-01,leather,1.9133,long,LE=F
