date,term,term_type,material,value,known_date,value_yoy,value_z
2015-01-01,baggy jeans,material,denim,2,2015-01-01,,
2015-02-01,baggy jeans,material,denim,2,2015-02-01,,
2015-03-01,baggy jeans,material,denim,2,2015-03-01,,
2015-04-01,baggy jeans,material,denim,2,2015-04-01,,
2015-05-01,baggy jeans,material,denim,2,2015-05-01,,
2015-06-01,baggy jeans,material,denim,1,2015-06-01,,
2015-07-01,baggy jeans,material,denim,1,2015-07-01,,
2015-08-01,baggy jeans,material,denim,1,2015-08-01,,
2015-09-01,baggy jeans,material,denim,2,2015-09-01,,
2015-10-01,baggy jeans,material,denim,2,2015-10-01,,
2015-11-01,baggy jeans,material,denim,2,2015-11-01,,
2015-12-01,baggy jeans,material,denim,2,2015-12-01,,
2016-01-01,baggy jeans,material,denim,2,2016-01-01,0.0,
2016-02-01,baggy jeans,material,denim,2,2016-02-01,0.0,
2016-03-01,baggy jeans,material,denim,2,2016-03-01,0.0,
2016-04-01,baggy jeans,material,denim,2,2016-04-01,0.0,
2016-05-01,baggy jeans,material,denim,2,2016-05-01,0.0,
2016-06-01,baggy jeans,material,denim,1,2016-06-01,0.0,
2016-07-01,baggy jeans,material,denim,1,2016-07-01,0.0,-1.8181
2016-08-01,baggy jeans,material,denim,1,2016-08-01,0.0,-1.6287
2016-09-01,baggy jeans,material,denim,2,2016-09-01,0.0,0.6381
2016-10-01,baggy jeans,material,denim,2,2016-10-01,0.0,0.6172
2016-11-01,baggy jeans,material,denim,2,2016-11-01,0.0,0.5983
2016-12-01,baggy jeans,material,denim,2,2016-12-01,0.0,0.581
2017-01-01,baggy jeans,material,denim,2,2017-01-01,0.0,0.5652
2017-02-01,baggy jeans,material,denim,2,2017-02-01,0.0,0.5506
2017-03-01,baggy jeans,material,denim,2,2017-03-01,0.0,0.5371
2017-04-01,baggy jeans,material,denim,2,2017-04-01,0.0,0.5245
2017-05-01,baggy jeans,material,denim,1,2017-05-01,-0.6931,-1.8803
2017-06-01,baggy jeans,material,denim,1,2017-06-01,0.0,-1.742
2017-07-01,baggy jeans,material,denim,1,2017-07-01,0.0,-1.6304
2017-08-01,baggy jeans,material,denim,2,2017-08-01,0.6931,0.6292
2017-09-01,baggy jeans,material,denim,2,2017-09-01,0.0,0.6157
