strategy,period_start,period_end,port_ret
h2_nowcast_monthly,2017-02-01,2017-03-01,-0.052746
h2_nowcast_monthly,2017-03-01,2017-04-01,0.006289
h2_nowcast_monthly,2017-04-01,2017-05-01,0.026995
h2_nowcast_monthly,2017-05-01,2017-06-01,-0.115642
h2_nowcast_monthly,2017-06-01,2017-07-01,-0.002
h2_nowcast_monthly,2017-07-01,2017-08-01,0.0
h2_nowcast_monthly,2017-08-01,2017-09-01,-0.120985
h2_nowcast_monthly,2017-09-01,2017-10-01,-0.108646
h2_nowcast_monthly,2017-10-01,2017-11-01,-0.027675
h2_nowcast_monthly,2017-11-01,2017-12-01,-0.117
h2_nowcast_monthly,2017-12-01,2018-01-01,0.002574
h2_nowcast_monthly,2018-01-01,2018-02-01,-0.002
h2_nowcast_monthly,2018-02-01,2018-03-01,0.0
h2_nowcast_monthly,2018-03-01,2018-04-01,0.0
h2_nowcast_monthly,2018-04-01,2018-05-01,0.0
h2_nowcast_monthly,2018-05-01,2018-06-01,0.0
h2_nowcast_monthly,2018-06-01,2018-07-01,0.0
h2_nowcast_monthly,2018-07-01,2018-08-01,0.015151
h2_nowcast_monthly,2018-08-01,2018-09-01,-0.002
h2_nowcast_monthly,2018-09-01,2018-10-01,0.081022
h2_nowcast_monthly,2018-10-01,2018-11-01,0.036483
h2_nowcast_monthly,2018-11-01,2018-12-01,0.028361
h2_nowcast_monthly,2018-12-01,2019-01-01,0.006374
h2_nowcast_monthly,2019-01-01,2019-02-01,-0.00535
h2_nowcast_monthly,2019-02-01,2019-03-01,-0.019125
h2_nowcast_monthly,2019-03-01,2019-04-01,-0.02608
h2_nowcast_monthly,2019-04-01,2019-05-01,-0.002
h2_nowcast_monthly,2019-05-01,2019-06-01,-0.068471
h2_nowcast_monthly,2019-06-01,2019-07-01,-0.034029
h2_nowcast_monthly,2019-07-01,2019-08-01,0.010443
h2_nowcast_monthly,2019-08-01,2019-09-01,-0.022475
h2_nowcast_monthly,2019-09-01,2019-10-01,0.018105
h2_nowcast_monthly,2019-10-01,2019-11-01,-0.00125
h2_nowcast_monthly,2019-11-01,2019-12-01,0.015501
h2_nowcast_monthly,2019-12-01,2020-01-01,0.017888
h2_nowcast_monthly,2020-01-01,2020-02-01,-0.009945
h2_nowcast_monthly,2020-02-01,2020-03-01,-0.002
h2_nowcast_monthly,2020-03-01,2020-04-01,0.0
h2_nowcast_monthly,2020-04-01,2020-05-01,0.0
h2_nowcast_monthly,2020-05-01,2020-06-01,-0.005797
h2_nowcast_monthly,2020-06-01,2020-07-01,-0.002
h2_nowcast_monthly,2020-07-01,2020-08-01,0.0
h2_nowcast_monthly,2020-08-01,2020-09-01,-0.034879
h2_nowcast_monthly,2020-09-01,2020-10-01,-0.076607
h2_nowcast_monthly,2020-10-01,2020-11-01,-0.06638
h2_nowcast_monthly,2020-11-01,2020-12-01,-0.012925
h2_nowcast_monthly,2020-12-01,2021-01-01,-0.015755
h2_nowcast_monthly,2021-01-01,2021-02-01,-0.002
h2_nowcast_monthly,2021-02-01,2021-03-01,0.0
h2_nowcast_monthly,2021-03-01,2021-04-01,0.0
h2_nowcast_monthly,2021-04-01,2021-05-01,0.0
h2_nowcast_monthly,2021-05-01,2021-06-01,-0.086284
h2_nowcast_monthly,2021-06-01,2021-07-01,-0.032247
h2_nowcast_monthly,2021-07-01,2021-08-01,0.012504
h2_nowcast_monthly,2021-08-01,2021-09-01,-0.016171
h2_nowcast_monthly,2021-09-01,2021-10-01,-0.028271
h2_nowcast_monthly,2021-10-01,2021-11-01,0.01088
h2_nowcast_monthly,2021-11-01,2021-12-01,-0.00457
h2_nowcast_monthly,2021-12-01,2022-01-01,-0.00533
h2_nowcast_monthly,2022-01-01,2022-02-01,0.059402
h2_nowcast_monthly,2022-02-01,2022-03-01,0.007237
h2_nowcast_monthly,2022-03-01,2022-04-01,0.032866
h2_nowcast_monthly,2022-04-01,2022-05-01,-0.0017
h2_nowcast_monthly,2022-05-01,2022-06-01,-0.074749
h2_nowcast_monthly,2022-06-01,2022-07-01,-0.002
