sleeve,params,fold,ir,source
h2,"z=0.5,trail=9",fold1_2020,-1.4261,measured
h2,"z=0.5,trail=9",fold2_2021,-1.4833,measured
h2,"z=0.5,trail=9",fold3_2022,1.1096,measured
h2,"z=0.5,trail=12",fold1_2020,-1.2077,measured
h2,"z=0.5,trail=12",fold2_2021,-1.7471,measured
h2,"z=0.5,trail=12",fold3_2022,0.8655,measured
h2,"z=0.5,trail=18",fold1_2020,-1.0048,measured
h2,"z=0.5,trail=18",fold2_2021,-1.1824,measured
h2,"z=0.5,trail=18",fold3_2022,1.0086,measured
h2,"z=1.0,trail=9",fold1_2020,-1.8109,measured
h2,"z=1.0,trail=9",fold2_2021,-1.6779,measured
h2,"z=1.0,trail=9",fold3_2022,0.9572,measured
h2,"z=1.0,trail=12",fold1_2020,-1.3869,measured
h2,"z=1.0,trail=12",fold2_2021,-1.6011,measured
h2,"z=1.0,trail=12",fold3_2022,0.9225,measured
h2,"z=1.0,trail=18",fold1_2020,-1.4405,measured
h2,"z=1.0,trail=18",fold2_2021,-1.5172,measured
h2,"z=1.0,trail=18",fold3_2022,0.7358,measured
h2,"z=1.5,trail=9",fold1_2020,-1.3094,measured
h2,"z=1.5,trail=9",fold2_2021,-1.3918,measured
h2,"z=1.5,trail=9",fold3_2022,1.0173,measured
h2,"z=1.5,trail=12",fold1_2020,-1.1575,measured
h2,"z=1.5,trail=12",fold2_2021,-1.4182,measured
h2,"z=1.5,trail=12",fold3_2022,1.1737,measured
h2,"z=1.5,trail=18",fold1_2020,-1.163,measured
h2,"z=1.5,trail=18",fold2_2021,-1.2584,measured
h2,"z=1.5,trail=18",fold3_2022,1.1737,measured
h1,"leg=3,win=6,mats=5",fold1_2020,,measured
h1,"leg=3,win=6,mats=5",fold2_2021,,measured
h1,"leg=3,win=6,mats=5",fold3_2022,,measured
h1,"leg=3,win=6,mats=6",fold1_2020,,measured
h1,"leg=3,win=6,mats=6",fold2_2021,,measured
h1,"leg=3,win=6,mats=6",fold3_2022,,measured
h1,"leg=3,win=6,mats=8",fold1_2020,,measured
h1,"leg=3,win=6,mats=8",fold2_2021,,measured
h1,"leg=3,win=6,mats=8",fold3_2022,,measured
h1,"leg=3,win=9,mats=5",fold1_2020,,measured
h1,"leg=3,win=9,mats=5",fold2_2021,,measured
h1,"leg=3,win=9,mats=5",fold3_2022,,measured
h1,"leg=3,win=9,mats=6",fold1_2020,,measured
h1,"leg=3,win=9,mats=6",fold2_2021,,measured
h1,"leg=3,win=9,mats=6",fold3_2022,,measured
h1,"leg=3,win=9,mats=8",fold1_2020,,measured
h1,"leg=3,win=9,mats=8",fold2_2021,,measured
h1,"leg=3,win=9,mats=8",fold3_2022,,measured
h1,"leg=3,win=12,mats=5",fold1_2020,,measured
h1,"leg=3,win=12,mats=5",fold2_2021,,measured
h1,"leg=3,win=12,mats=5",fold3_2022,,measured
h1,"leg=3,win=12,mats=6",fold1_2020,,measured
h1,"leg=3,win=12,mats=6",fold2_2021,,measured
h1,"leg=3,win=12,mats=6",fold3_2022,,measured
h1,"leg=3,win=12,mats=8",fold1_2020,,measured
h1,"leg=3,win=12,mats=8",fold2_2021,,measured
h1,"leg=3,win=12,mats=8",fold3_2022,,measured
h1,"leg=5,win=6,mats=5",fold1_2020,,measured
h1,"leg=5,win=6,mats=5",fold2_2021,,measured
h1,"leg=5,win=6,mats=5",fold3_2022,,measured
h1,"leg=5,win=6,mats=6",fold1_2020,,measured
h1,"leg=5,win=6,mats=6",fold2_2021,,measured
h1,"leg=5,win=6,mats=6",fold3_2022,,measured
h1,"leg=5,win=6,mats=8",fold1_2020,,measured
h1,"leg=5,win=6,mats=8",fold2_2021,,measured
h1,"leg=5,win=6,mats=8",fold3_2022,,measured
h1,"leg=5,win=9,mats=5",fold1_2020,,measured
h1,"leg=5,win=9,mats=5",fold2_2021,,measured
h1,"leg=5,win=9,mats=5",fold3_2022,,measured
h1,"leg=5,win=9,mats=6",fold1_2020,,measured
h1,"leg=5,win=9,mats=6",fold2_2021,,measured
h1,"leg=5,win=9,mats=6",fold3_2022,,measured
h1,"leg=5,win=9,mats=8",fold1_2020,,measured
h1,"leg=5,win=9,mats=8",fold2_2021,,measured
h1,"leg=5,win=9,mats=8",fold3_2022,,measured
h1,"leg=5,win=12,mats=5",fold1_2020,,measured
h1,"leg=5,win=12,mats=5",fold2_2021,,measured
h1,"leg=5,win=12,mats=5",fold3_2022,,measured
h1,"leg=5,win=12,mats=6",fold1_2020,,measured
h1,"leg=5,win=12,mats=6",fold2_2021,,measured
h1,"leg=5,win=12,mats=6",fold3_2022,,measured
h1,"leg=5,win=12,mats=8",fold1_2020,,measured
h1,"leg=5,win=12,mats=8",fold2_2021,,measured
h1,"leg=5,win=12,mats=8",fold3_2022,,measured
