strategy,date,equity
h2_nowcast_trends_monthly,2016-07-04,1.011079
h2_nowcast_trends_monthly,2016-07-05,1.012541
h2_nowcast_trends_monthly,2016-07-06,1.029024
h2_nowcast_trends_monthly,2016-07-07,1.017446
h2_nowcast_trends_monthly,2016-07-08,1.018669
h2_nowcast_trends_monthly,2016-07-11,1.004887
h2_nowcast_trends_monthly,2016-07-12,1.022021
h2_nowcast_trends_monthly,2016-07-13,1.014732
h2_nowcast_trends_monthly,2016-07-14,1.016663
h2_nowcast_trends_monthly,2016-07-15,1.010393
h2_nowcast_trends_monthly,2016-07-18,1.009703
h2_nowcast_trends_monthly,2016-07-19,1.008923
h2_nowcast_trends_monthly,2016-07-20,1.015778
h2_nowcast_trends_monthly,2016-07-21,1.012428
h2_nowcast_trends_monthly,2016-07-22,1.023429
h2_nowcast_trends_monthly,2016-07-25,1.019107
h2_nowcast_trends_monthly,2016-07-26,1.027187
h2_nowcast_trends_monthly,2016-07-27,1.024201
h2_nowcast_trends_monthly,2016-07-28,1.030164
h2_nowcast_trends_monthly,2016-07-29,1.026612
h2_nowcast_trends_monthly,2016-08-01,1.01489
h2_nowcast_trends_monthly,2016-08-02,1.01286
h2_nowcast_trends_monthly,2016-08-03,1.01286
h2_nowcast_trends_monthly,2016-08-04,1.01286
h2_nowcast_trends_monthly,2016-08-05,1.01286
h2_nowcast_trends_monthly,2016-08-08,1.01286
h2_nowcast_trends_monthly,2016-08-09,1.01286
h2_nowcast_trends_monthly,2016-08-10,1.01286
h2_nowcast_trends_monthly,2016-08-11,1.01286
h2_nowcast_trends_monthly,2016-08-12,1.01286
h2_nowcast_trends_monthly,2016-08-15,1.01286
h2_nowcast_trends_monthly,2016-08-16,1.01286
h2_nowcast_trends_monthly,2016-08-17,1.01286
h2_nowcast_trends_monthly,2016-08-18,1.01286
h2_nowcast_trends_monthly,2016-08-19,1.01286
h2_nowcast_trends_monthly,2016-08-22,1.01286
h2_nowcast_trends_monthly,2016-08-23,1.01286
h2_nowcast_trends_monthly,2016-08-24,1.01286
h2_nowcast_trends_monthly,2016-08-25,1.01286
h2_nowcast_trends_monthly,2016-08-26,1.01286
h2_nowcast_trends_monthly,2016-08-29,1.01286
h2_nowcast_trends_monthly,2016-08-30,1.01286
h2_nowcast_trends_monthly,2016-08-31,1.01286
h2_nowcast_trends_monthly,2016-09-01,1.01286
h2_nowcast_trends_monthly,2016-09-02,1.01286
h2_nowcast_trends_monthly,2016-09-05,1.01286
h2_nowcast_trends_monthly,2016-09-06,1.01286
h2_nowcast_trends_monthly,2016-09-07,1.01286
h2_nowcast_trends_monthly,2016-09-08,1.01286
h2_nowcast_trends_monthly,2016-09-09,1.01286
h2_nowcast_trends_monthly,2016-09-12,1.01286
h2_nowcast_trends_monthly,2016-09-13,1.01286
h2_nowcast_trends_monthly,2016-09-14,1.01286
h2_nowcast_trends_monthly,2016-09-15,1.01286
h2_nowcast_trends_monthly,2016-09-16,1.01286
h2_nowcast_trends_monthly,2016-09-19,1.01286
h2_nowcast_trends_monthly,2016-09-20,1.01286
h2_nowcast_trends_monthly,2016-09-21,1.01286
h2_nowcast_trends_monthly,2016-09-22,1.01286
h2_nowcast_trends_monthly,2016-09-23,1.01286
h2_nowcast_trends_monthly,2016-09-26,1.01286
h2_nowcast_trends_monthly,2016-09-27,1.01286
h2_nowcast_trends_monthly,2016-09-28,1.01286
h2_nowcast_trends_monthly,2016-09-29,1.01286
h2_nowcast_trends_monthly,2016-09-30,1.01286
h2_nowcast_trends_monthly,2016-10-03,1.01286
h2_nowcast_trends_monthly,2016-10-04,1.01286
h2_nowcast_trends_monthly,2016-10-05,1.01286
h2_nowcast_trends_monthly,2016-10-06,1.01286
h2_nowcast_trends_monthly,2016-10-07,1.01286
h2_nowcast_trends_monthly,2016-10-10,1.01286
h2_nowcast_trends_monthly,2016-10-11,1.01286
h2_nowcast_trends_monthly,2016-10-12,1.01286
h2_nowcast_trends_monthly,2016-10-13,1.01286
h2_nowcast_trends_monthly,2016-10-14,1.01286
h2_nowcast_trends_monthly,2016-10-17,1.01286
h2_nowcast_trends_monthly,2016-10-18,1.01286
h2_nowcast_trends_monthly,2016-10-19,1.01286
h2_nowcast_trends_monthly,2016-10-20,1.01286
h2_nowcast_trends_monthly,2016-10-21,1.01286
h2_nowcast_trends_monthly,2016-10-24,1.01286
h2_nowcast_trends_monthly,2016-10-25,1.01286
h2_nowcast_trends_monthly,2016-10-26,1.01286
h2_nowcast_trends_monthly,2016-10-27,1.01286
h2_nowcast_trends_monthly,2016-10-28,1.01286
h2_nowcast_trends_monthly,2016-10-31,1.01286
h2_nowcast_trends_monthly,2016-11-01,1.01286
h2_nowcast_trends_monthly,2016-11-02,1.01286
h2_nowcast_trends_monthly,2016-11-03,1.01286
h2_nowcast_trends_monthly,2016-11-04,1.01286
h2_nowcast_trends_monthly,2016-11-07,1.01286
h2_nowcast_trends_monthly,2016-11-08,1.01286
h2_nowcast_trends_monthly,2016-11-09,1.01286
h2_nowcast_trends_monthly,2016-11-10,1.01286
h2_nowcast_trends_monthly,2016-11-11,1.01286
h2_nowcast_trends_monthly,2016-11-14,1.01286
h2_nowcast_trends_monthly,2016-11-15,1.01286
h2_nowcast_trends_monthly,2016-11-16,1.01286
