indicator,commodity,horizon_m,eval_window,n,pearson_r,nw_t,block_boot_p,sign_agree
search,LE=F,3,True,72,-0.004,-0.04,0.9785,0.431
search,LE=F,3,False,40,0.018,0.08,0.9185,0.6
search,LE=F,6,True,72,-0.498,-3.79,0.0065,0.208
search,LE=F,6,False,37,0.601,5.92,0.009,0.595
search,LE=F,9,True,72,-0.461,-3.32,0.012,0.278
search,LE=F,9,False,34,0.474,1.91,0.0225,0.529
search,CT=F,3,True,72,-0.124,-0.73,0.3988,0.556
search,CT=F,3,False,40,0.191,1.81,0.2704,0.45
search,CT=F,6,True,72,-0.002,-0.01,0.988,0.486
search,CT=F,6,False,37,0.129,0.84,0.5782,0.297
search,CT=F,9,True,72,0.001,0.0,0.9935,0.458
search,CT=F,9,False,34,0.469,3.07,0.0325,0.235
search,CL=F,3,True,72,-0.326,-1.55,0.0165,0.542
search,CL=F,3,False,40,-0.07,-0.42,0.6947,0.425
search,CL=F,6,True,72,-0.363,-1.7,0.0475,0.5
search,CL=F,6,False,37,0.682,3.25,0.0075,0.622
search,CL=F,9,True,72,-0.362,-1.24,0.071,0.528
search,CL=F,9,False,34,0.14,1.81,0.4403,0.441
runway,LE=F,3,True,72,0.171,1.25,0.2644,0.625
runway,LE=F,3,False,40,-0.378,-3.21,0.0215,0.45
runway,LE=F,6,True,72,0.245,1.36,0.1584,0.653
runway,LE=F,6,False,37,-0.401,-2.33,0.086,0.595
runway,LE=F,9,True,72,0.045,0.19,0.8466,0.472
runway,LE=F,9,False,34,-0.083,-0.43,0.7611,0.676
runway,CT=F,3,True,72,0.08,0.47,0.6107,0.5
runway,CT=F,3,False,40,0.037,0.34,0.8571,0.45
runway,CT=F,6,True,72,0.026,0.19,0.903,0.458
runway,CT=F,6,False,37,-0.022,-0.15,0.9345,0.459
runway,CT=F,9,True,72,0.076,0.61,0.7311,0.514
runway,CT=F,9,False,34,0.018,0.2,0.9485,0.412
runway,CL=F,3,True,72,0.092,0.43,0.4933,0.583
runway,CL=F,3,False,40,0.398,1.7,0.0225,0.6
runway,CL=F,6,True,72,-0.026,-0.14,0.908,0.569
runway,CL=F,6,False,37,0.035,0.27,0.8976,0.676
runway,CL=F,9,True,72,-0.136,-0.84,0.5832,0.542
runway,CL=F,9,False,34,-0.587,-2.67,0.05,0.618
