event_id,ticker,earnings_within_10d,confounder_unknown,confounded
E00001,MC.PA,False,False,False
E00002,MC.PA,False,False,False
E00003,MC.PA,False,False,False
E00004,MC.PA,False,False,False
E00005,MC.PA,False,False,False
E00006,MC.PA,False,False,False
E00007,MC.PA,False,False,False
E00008,MC.PA,False,False,False
E00009,MC.PA,False,False,False
E00010,MC.PA,False,False,False
E00011,MC.PA,False,False,False
E00012,MC.PA,False,False,False
E00013,MC.PA,False,False,False
E00014,KER.PA,False,False,False
E00015,KER.PA,False,False,False
E00016,KER.PA,False,False,False
E00019,KER.PA,False,False,False
E00020,KER.PA,False,False,False
E00021,KER.PA,False,False,False
E00022,KER.PA,False,False,False
E00023,KER.PA,False,False,False
E00024,KER.PA,False,False,False
E00025,KER.PA,False,False,False
E00026,TPR,False,False,False
E00027,TPR,False,False,False
E00028,PVH,False,False,False
E00029,BRBY.L,False,False,False
E00030,BRBY.L,False,False,False
E00031,1913.HK,False,False,False
