event_id,year,gala_date,theme,parent_ticker,ticker,show_date,dress_credits_count,top_celebrity_dressed,tier,article_url
E00001,2000,2000-05-01,Rock Style,MC.PA,MC.PA,2000-05-01,0,,N,
E00002,2000,2000-05-01,Rock Style,KER.PA,KER.PA,2000-05-01,0,,N,
E00003,2000,2000-05-01,Rock Style,CPRI,CPRI,2000-05-01,0,,N,
E00004,2000,2000-05-01,Rock Style,TPR,TPR,2000-05-01,0,,N,
E00005,2000,2000-05-01,Rock Style,COH,COH,2000-05-01,0,,N,
E00006,2000,2000-05-01,Rock Style,PVH,PVH,2000-05-01,0,,N,
E00007,2000,2000-05-01,Rock Style,RMS.PA,RMS.PA,2000-05-01,0,,N,
E00008,2000,2000-05-01,Rock Style,BRBY.L,BRBY.L,2000-05-01,0,,N,
E00009,2000,2000-05-01,Rock Style,1913.HK,1913.HK,2000-05-01,0,,N,
E00010,2000,2000-05-01,Rock Style,BC.MI,BC.MI,2000-05-01,0,,N,
E00011,2000,2000-05-01,Rock Style,MONC.MI,MONC.MI,2000-05-01,0,,N,
E00012,2000,2000-05-01,Rock Style,BOSS.DE,BOSS.DE,2000-05-01,0,,N,
E00013,2000,2000-05-01,Rock Style,RL,RL,2000-05-01,0,,N,
E00014,2000,2000-05-01,Rock Style,SFER.MI,SFER.MI,2000-05-01,0,,N,
E00015,2000,2000-05-01,Rock Style,TOD.MI,TOD.MI,2000-05-01,0,,N,
E00016,2001,2001-05-07,Jacqueline Kennedy: The White House Years,MC.PA,MC.PA,2001-05-07,0,,N,
E00017,2001,2001-05-07,Jacqueline Kennedy: The White House Years,KER.PA,KER.PA,2001-05-07,0,,N,
E00018,2001,2001-05-07,Jacqueline Kennedy: The White House Years,CPRI,CPRI,2001-05-07,0,,N,
E00019,2001,2001-05-07,Jacqueline Kennedy: The White House Years,TPR,TPR,2001-05-07,0,,N,
E00020,2001,2001-05-07,Jacqueline Kennedy: The White House Years,COH,COH,2001-05-07,0,,N,
