event_id,ticker,earnings_within_10d,confounder_unknown,confounded
E00006,KER.PA,False,False,False
E00011,MC.PA,False,False,False
E00012,MC.PA,False,False,False
E00013,KER.PA,False,False,False
E00014,RMS.PA,False,False,False
E00017,PVH,False,False,False
E00018,RL,False,False,False
E00020,KER.PA,False,False,False
E00025,MC.PA,False,False,False
E00026,MC.PA,False,False,False
E00027,KER.PA,False,False,False
E00028,RMS.PA,False,False,False
E00030,TPR,False,False,False
E00031,PVH,False,False,False
E00032,RL,False,False,False
E00034,KER.PA,False,False,False
E00039,MC.PA,False,False,False
E00040,MC.PA,False,False,False
E00041,KER.PA,False,False,False
E00042,RMS.PA,False,False,False
E00044,TPR,False,False,False
E00045,PVH,False,False,False
E00046,RL,False,False,False
E00048,KER.PA,False,False,False
E00053,MC.PA,False,False,False
E00054,MC.PA,False,False,False
E00055,KER.PA,False,False,False
E00056,RMS.PA,False,False,False
E00058,TPR,False,False,False
E00059,PVH,False,False,False
E00060,RL,False,False,False
E00062,KER.PA,False,False,False
E00067,MC.PA,False,False,False
E00068,MC.PA,False,False,False
E00069,KER.PA,False,False,False
E00070,RMS.PA,False,False,False
E00072,TPR,False,False,False
E00073,PVH,False,False,False
E00074,RL,False,False,False
E00075,BRBY.L,False,False,False
E00076,KER.PA,False,False,False
E00081,MC.PA,False,False,False
E00082,MC.PA,False,False,False
E00083,KER.PA,False,False,False
E00084,RMS.PA,False,False,False
E00086,TPR,False,False,False
E00087,PVH,False,False,False
E00088,RL,False,False,False
E00089,BRBY.L,False,False,False
E00090,KER.PA,False,False,False
E00095,MC.PA,False,False,False
E00096,MC.PA,False,False,False
E00097,KER.PA,False,False,False
E00098,RMS.PA,False,False,False
E00100,TPR,False,False,False
E00101,PVH,False,False,False
E00102,RL,False,False,False
E00103,BRBY.L,False,False,False
E00104,KER.PA,False,False,False
E00109,MC.PA,False,False,False
E00110,MC.PA,False,False,False
E00111,KER.PA,False,False,False
E00112,RMS.PA,False,False,False
E00114,TPR,False,False,False
E00115,PVH,False,False,False
E00116,RL,False,False,False
E00117,BRBY.L,False,False,False
E00118,KER.PA,False,False,False
E00123,MC.PA,False,False,False
E00124,MC.PA,False,False,False
E00125,KER.PA,False,False,False
E00126,RMS.PA,False,False,False
E00128,TPR,False,False,False
E00129,PVH,False,False,False
E00130,RL,False,False,False
E00131,BRBY.L,False,False,False
E00132,KER.PA,False,False,False
E00137,MC.PA,False,False,False
E00138,MC.PA,False,False,False
E00139,KER.PA,False,False,False
E00140,RMS.PA,False,False,False
E00142,TPR,False,False,False
E00143,PVH,False,False,False
E00144,RL,False,False,False
E00145,BRBY.L,False,False,False
E00146,KER.PA,False,False,False
E00151,MC.PA,False,False,False
E00152,MC.PA,False,False,False
E00153,KER.PA,False,False,False
E00154,RMS.PA,False,False,False
E00156,TPR,False,False,False
E00157,PVH,False,False,False
E00158,RL,False,False,False
E00159,BRBY.L,False,False,False
E00160,KER.PA,False,False,False
E00165,MC.PA,False,False,False
E00166,MC.PA,False,False,False
E00167,KER.PA,False,False,False
E00168,RMS.PA,False,False,False
E00170,TPR,False,False,False
E00171,PVH,False,False,False
E00172,RL,False,False,False
E00173,BRBY.L,False,False,False
E00174,KER.PA,False,False,False
E00179,MC.PA,False,False,False
E00180,MC.PA,False,False,False
E00181,KER.PA,False,False,False
E00182,RMS.PA,False,False,False
E00184,TPR,False,False,False
E00185,PVH,False,False,False
E00186,RL,False,False,False
E00187,BRBY.L,False,False,False
E00188,KER.PA,False,False,False
E00193,MC.PA,False,False,False
E00194,MC.PA,False,False,False
E00195,KER.PA,False,False,False
E00196,RMS.PA,False,False,False
E00198,TPR,False,False,False
E00199,PVH,False,False,False
E00200,RL,False,False,False
