city,season,year,fw_start_date,fw_end_date,n_brands_universe,source
new_york,FW,2000,2000-02-11,2000-02-17,5,synthetic-convention
london,FW,2000,2000-02-18,2000-02-23,1,synthetic-convention
milan,FW,2000,2000-02-24,2000-02-29,8,synthetic-convention
paris,FW,2000,2000-03-01,2000-03-06,10,synthetic-convention
new_york,SS,2000,2000-09-08,2000-09-14,5,synthetic-convention
london,SS,2000,2000-09-15,2000-09-20,1,synthetic-convention
milan,SS,2000,2000-09-21,2000-09-26,8,synthetic-convention
paris,SS,2000,2000-09-27,2000-10-02,10,synthetic-convention
new_york,FW,2001,2001-02-09,2001-02-15,5,synthetic-convention
london,FW,2001,2001-02-16,2001-02-21,1,synthetic-convention
milan,FW,2001,2001-02-22,2001-02-27,8,synthetic-convention
paris,FW,2001,2001-02-28,2001-03-05,10,synthetic-convention
new_york,SS,2001,2001-09-07,2001-09-13,5,synthetic-convention
london,SS,2001,2001-09-14,2001-09-19,1,synthetic-convention
milan,SS,2001,2001-09-20,2001-09-25,8,synthetic-convention
paris,SS,2001,2001-09-26,2001-10-01,10,synthetic-convention
new_york,FW,2002,2002-02-08,2002-02-14,5,synthetic-convention
london,FW,2002,2002-02-15,2002-02-20,1,synthetic-convention
milan,FW,2002,2002-02-21,2002-02-26,8,synthetic-convention
paris,FW,2002,2002-02-27,2002-03-04,10,synthetic-convention
new_york,SS,2002,2002-09-13,2002-09-19,5,synthetic-convention
london,SS,2002,2002-09-20,2002-09-25,1,synthetic-convention
milan,SS,2002,2002-09-26,2002-10-01,8,synthetic-convention
paris,SS,2002,2002-10-02,2002-10-07,10,synthetic-convention
new_york,FW,2003,2003-02-07,2003-02-13,5,synthetic-convention
london,FW,2003,2003-02-14,2003-02-19,1,synthetic-convention
milan,FW,2003,2003-02-20,2003-02-25,8,synthetic-convention
paris,FW,2003,2003-02-26,2003-03-03,10,synthetic-convention
new_york,SS,2003,2003-09-12,2003-09-18,5,synthetic-convention
london,SS,2003,2003-09-19,2003-09-24,1,synthetic-convention
milan,SS,2003,2003-09-25,2003-09-30,8,synthetic-convention
paris,SS,2003,2003-10-01,2003-10-06,10,synthetic-convention
new_york,FW,2004,2004-02-13,2004-02-19,5,synthetic-convention
london,FW,2004,2004-02-20,2004-02-25,1,synthetic-convention
milan,FW,2004,2004-02-26,2004-03-02,8,synthetic-convention
paris,FW,2004,2004-03-03,2004-03-08,10,synthetic-convention
new_york,SS,2004,2004-09-10,2004-09-16,5,synthetic-convention
london,SS,2004,2004-09-17,2004-09-22,1,synthetic-convention
milan,SS,2004,2004-09-23,2004-09-28,8,synthetic-convention
paris,SS,2004,2004-09-29,2004-10-04,10,synthetic-convention
new_york,FW,2005,2005-02-11,2005-02-17,5,synthetic-convention
london,FW,2005,2005-02-18,2005-02-23,1,synthetic-convention
milan,FW,2005,2005-02-24,2005-03-01,8,synthetic-convention
paris,FW,2005,2005-03-02,2005-03-07,10,synthetic-convention
new_york,SS,2005,2005-09-09,2005-09-15,5,synthetic-convention
london,SS,2005,2005-09-16,2005-09-21,1,synthetic-convention
milan,SS,2005,2005-09-22,2005-09-27,8,synthetic-convention
paris,SS,2005,2005-09-28,2005-10-03,10,synthetic-convention
new_york,FW,2006,2006-02-10,2006-02-16,5,synthetic-convention
