event_id,city,season,year,parent_ticker,ticker,brands_showing,n_brands_showing,fw_start_date,show_date,fw_end_date,local_index
E00001,new_york,FW,2000,CPRI,CPRI,Michael Kors,1,2000-02-11,2000-02-11,2000-02-17,^GSPC
E00002,new_york,FW,2000,TPR,TPR,Coach,1,2000-02-11,2000-02-11,2000-02-17,^GSPC
E00003,new_york,FW,2000,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2000-02-11,2000-02-11,2000-02-17,^GSPC
E00004,new_york,FW,2000,RL,RL,Ralph Lauren,1,2000-02-11,2000-02-11,2000-02-17,^GSPC
E00005,london,FW,2000,BRBY.L,BRBY.L,Burberry,1,2000-02-18,2000-02-18,2000-02-23,^FTSE
E00006,milan,FW,2000,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2000-02-24,2000-02-24,2000-02-29,FTSEMIB.MI
E00007,milan,FW,2000,1913.HK,1913.HK,Prada; Miu Miu,2,2000-02-24,2000-02-24,2000-02-29,FTSEMIB.MI
E00008,milan,FW,2000,BC.MI,BC.MI,Brunello Cucinelli,1,2000-02-24,2000-02-24,2000-02-29,FTSEMIB.MI
E00009,milan,FW,2000,MONC.MI,MONC.MI,Moncler,1,2000-02-24,2000-02-24,2000-02-29,FTSEMIB.MI
E00010,milan,FW,2000,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2000-02-24,2000-02-24,2000-02-29,FTSEMIB.MI
E00011,milan,FW,2000,MC.PA,MC.PA,Fendi,1,2000-02-24,2000-02-24,2000-02-29,FTSEMIB.MI
E00012,paris,FW,2000,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2000-03-01,2000-03-01,2000-03-06,^FCHI
E00013,paris,FW,2000,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2000-03-01,2000-03-01,2000-03-06,^FCHI
E00014,paris,FW,2000,RMS.PA,RMS.PA,Hermès,1,2000-03-01,2000-03-01,2000-03-06,^FCHI
E00015,new_york,SS,2000,CPRI,CPRI,Michael Kors,1,2000-09-08,2000-09-08,2000-09-14,^GSPC
E00016,new_york,SS,2000,TPR,TPR,Coach,1,2000-09-08,2000-09-08,2000-09-14,^GSPC
E00017,new_york,SS,2000,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2000-09-08,2000-09-08,2000-09-14,^GSPC
E00018,new_york,SS,2000,RL,RL,Ralph Lauren,1,2000-09-08,2000-09-08,2000-09-14,^GSPC
E00019,london,SS,2000,BRBY.L,BRBY.L,Burberry,1,2000-09-15,2000-09-15,2000-09-20,^FTSE
E00020,milan,SS,2000,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2000-09-21,2000-09-21,2000-09-26,FTSEMIB.MI
E00021,milan,SS,2000,1913.HK,1913.HK,Prada; Miu Miu,2,2000-09-21,2000-09-21,2000-09-26,FTSEMIB.MI
E00022,milan,SS,2000,BC.MI,BC.MI,Brunello Cucinelli,1,2000-09-21,2000-09-21,2000-09-26,FTSEMIB.MI
E00023,milan,SS,2000,MONC.MI,MONC.MI,Moncler,1,2000-09-21,2000-09-21,2000-09-26,FTSEMIB.MI
E00024,milan,SS,2000,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2000-09-21,2000-09-21,2000-09-26,FTSEMIB.MI
E00025,milan,SS,2000,MC.PA,MC.PA,Fendi,1,2000-09-21,2000-09-21,2000-09-26,FTSEMIB.MI
E00026,paris,SS,2000,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2000-09-27,2000-09-27,2000-10-02,^FCHI
E00027,paris,SS,2000,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2000-09-27,2000-09-27,2000-10-02,^FCHI
E00028,paris,SS,2000,RMS.PA,RMS.PA,Hermès,1,2000-09-27,2000-09-27,2000-10-02,^FCHI
E00029,new_york,FW,2001,CPRI,CPRI,Michael Kors,1,2001-02-09,2001-02-09,2001-02-15,^GSPC
E00030,new_york,FW,2001,TPR,TPR,Coach,1,2001-02-09,2001-02-09,2001-02-15,^GSPC
E00031,new_york,FW,2001,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2001-02-09,2001-02-09,2001-02-15,^GSPC
E00032,new_york,FW,2001,RL,RL,Ralph Lauren,1,2001-02-09,2001-02-09,2001-02-15,^GSPC
E00033,london,FW,2001,BRBY.L,BRBY.L,Burberry,1,2001-02-16,2001-02-16,2001-02-21,^FTSE
E00034,milan,FW,2001,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2001-02-22,2001-02-22,2001-02-27,FTSEMIB.MI
E00035,milan,FW,2001,1913.HK,1913.HK,Prada; Miu Miu,2,2001-02-22,2001-02-22,2001-02-27,FTSEMIB.MI
E00036,milan,FW,2001,BC.MI,BC.MI,Brunello Cucinelli,1,2001-02-22,2001-02-22,2001-02-27,FTSEMIB.MI
E00037,milan,FW,2001,MONC.MI,MONC.MI,Moncler,1,2001-02-22,2001-02-22,2001-02-27,FTSEMIB.MI
E00038,milan,FW,2001,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2001-02-22,2001-02-22,2001-02-27,FTSEMIB.MI
E00039,milan,FW,2001,MC.PA,MC.PA,Fendi,1,2001-02-22,2001-02-22,2001-02-27,FTSEMIB.MI
E00040,paris,FW,2001,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2001-02-28,2001-02-28,2001-03-05,^FCHI
E00041,paris,FW,2001,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2001-02-28,2001-02-28,2001-03-05,^FCHI
E00042,paris,FW,2001,RMS.PA,RMS.PA,Hermès,1,2001-02-28,2001-02-28,2001-03-05,^FCHI
E00043,new_york,SS,2001,CPRI,CPRI,Michael Kors,1,2001-09-07,2001-09-07,2001-09-13,^GSPC
E00044,new_york,SS,2001,TPR,TPR,Coach,1,2001-09-07,2001-09-07,2001-09-13,^GSPC
E00045,new_york,SS,2001,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2001-09-07,2001-09-07,2001-09-13,^GSPC
E00046,new_york,SS,2001,RL,RL,Ralph Lauren,1,2001-09-07,2001-09-07,2001-09-13,^GSPC
E00047,london,SS,2001,BRBY.L,BRBY.L,Burberry,1,2001-09-14,2001-09-14,2001-09-19,^FTSE
E00048,milan,SS,2001,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2001-09-20,2001-09-20,2001-09-25,FTSEMIB.MI
E00049,milan,SS,2001,1913.HK,1913.HK,Prada; Miu Miu,2,2001-09-20,2001-09-20,2001-09-25,FTSEMIB.MI
E00050,milan,SS,2001,BC.MI,BC.MI,Brunello Cucinelli,1,2001-09-20,2001-09-20,2001-09-25,FTSEMIB.MI
E00051,milan,SS,2001,MONC.MI,MONC.MI,Moncler,1,2001-09-20,2001-09-20,2001-09-25,FTSEMIB.MI
E00052,milan,SS,2001,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2001-09-20,2001-09-20,2001-09-25,FTSEMIB.MI
E00053,milan,SS,2001,MC.PA,MC.PA,Fendi,1,2001-09-20,2001-09-20,2001-09-25,FTSEMIB.MI
E00054,paris,SS,2001,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2001-09-26,2001-09-26,2001-10-01,^FCHI
E00055,paris,SS,2001,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2001-09-26,2001-09-26,2001-10-01,^FCHI
E00056,paris,SS,2001,RMS.PA,RMS.PA,Hermès,1,2001-09-26,2001-09-26,2001-10-01,^FCHI
E00057,new_york,FW,2002,CPRI,CPRI,Michael Kors,1,2002-02-08,2002-02-08,2002-02-14,^GSPC
E00058,new_york,FW,2002,TPR,TPR,Coach,1,2002-02-08,2002-02-08,2002-02-14,^GSPC
E00059,new_york,FW,2002,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2002-02-08,2002-02-08,2002-02-14,^GSPC
E00060,new_york,FW,2002,RL,RL,Ralph Lauren,1,2002-02-08,2002-02-08,2002-02-14,^GSPC
E00061,london,FW,2002,BRBY.L,BRBY.L,Burberry,1,2002-02-15,2002-02-15,2002-02-20,^FTSE
E00062,milan,FW,2002,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2002-02-21,2002-02-21,2002-02-26,FTSEMIB.MI
E00063,milan,FW,2002,1913.HK,1913.HK,Prada; Miu Miu,2,2002-02-21,2002-02-21,2002-02-26,FTSEMIB.MI
E00064,milan,FW,2002,BC.MI,BC.MI,Brunello Cucinelli,1,2002-02-21,2002-02-21,2002-02-26,FTSEMIB.MI
E00065,milan,FW,2002,MONC.MI,MONC.MI,Moncler,1,2002-02-21,2002-02-21,2002-02-26,FTSEMIB.MI
E00066,milan,FW,2002,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2002-02-21,2002-02-21,2002-02-26,FTSEMIB.MI
E00067,milan,FW,2002,MC.PA,MC.PA,Fendi,1,2002-02-21,2002-02-21,2002-02-26,FTSEMIB.MI
E00068,paris,FW,2002,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2002-02-27,2002-02-27,2002-03-04,^FCHI
E00069,paris,FW,2002,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2002-02-27,2002-02-27,2002-03-04,^FCHI
E00070,paris,FW,2002,RMS.PA,RMS.PA,Hermès,1,2002-02-27,2002-02-27,2002-03-04,^FCHI
E00071,new_york,SS,2002,CPRI,CPRI,Michael Kors,1,2002-09-13,2002-09-13,2002-09-19,^GSPC
E00072,new_york,SS,2002,TPR,TPR,Coach,1,2002-09-13,2002-09-13,2002-09-19,^GSPC
E00073,new_york,SS,2002,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2002-09-13,2002-09-13,2002-09-19,^GSPC
E00074,new_york,SS,2002,RL,RL,Ralph Lauren,1,2002-09-13,2002-09-13,2002-09-19,^GSPC
E00075,london,SS,2002,BRBY.L,BRBY.L,Burberry,1,2002-09-20,2002-09-20,2002-09-25,^FTSE
E00076,milan,SS,2002,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2002-09-26,2002-09-26,2002-10-01,FTSEMIB.MI
E00077,milan,SS,2002,1913.HK,1913.HK,Prada; Miu Miu,2,2002-09-26,2002-09-26,2002-10-01,FTSEMIB.MI
E00078,milan,SS,2002,BC.MI,BC.MI,Brunello Cucinelli,1,2002-09-26,2002-09-26,2002-10-01,FTSEMIB.MI
E00079,milan,SS,2002,MONC.MI,MONC.MI,Moncler,1,2002-09-26,2002-09-26,2002-10-01,FTSEMIB.MI
E00080,milan,SS,2002,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2002-09-26,2002-09-26,2002-10-01,FTSEMIB.MI
E00081,milan,SS,2002,MC.PA,MC.PA,Fendi,1,2002-09-26,2002-09-26,2002-10-01,FTSEMIB.MI
E00082,paris,SS,2002,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2002-10-02,2002-10-02,2002-10-07,^FCHI
E00083,paris,SS,2002,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2002-10-02,2002-10-02,2002-10-07,^FCHI
E00084,paris,SS,2002,RMS.PA,RMS.PA,Hermès,1,2002-10-02,2002-10-02,2002-10-07,^FCHI
E00085,new_york,FW,2003,CPRI,CPRI,Michael Kors,1,2003-02-07,2003-02-07,2003-02-13,^GSPC
