event_id,ticker,earnings_within_10d,confounder_unknown,confounded
E00001,MC.PA,False,False,False
E00002,MC.PA,False,False,False
E00003,MC.PA,False,False,False
E00004,MC.PA,False,False,False
E00005,MC.PA,False,False,False
E00006,MC.PA,False,False,False
E00007,MC.PA,False,False,False
E00008,MC.PA,False,False,False
E00009,MC.PA,False,False,False
E00010,MC.PA,False,False,False
E00011,MC.PA,False,False,False
E00012,MC.PA,False,False,False
E00013,MC.PA,False,False,False
E00014,MC.PA,False,False,False
E00015,MC.PA,False,False,False
E00016,MC.PA,False,False,False
E00017,MC.PA,False,False,False
E00018,MC.PA,False,False,False
E00019,MC.PA,False,False,False
E00020,MC.PA,False,False,False
E00021,MC.PA,False,False,False
E00022,MC.PA,False,False,False
E00023,MC.PA,False,False,False
E00024,MC.PA,False,False,False
E00025,MC.PA,False,False,False
E00026,MC.PA,False,False,False
E00027,MC.PA,False,False,False
E00028,MC.PA,False,False,False
E00029,MC.PA,False,False,False
E00030,MC.PA,False,False,False
E00031,MC.PA,False,False,False
E00032,MC.PA,False,False,False
E00033,MC.PA,False,False,False
E00034,MC.PA,False,False,False
E00035,MC.PA,False,False,False
E00036,MC.PA,False,False,False
E00037,MC.PA,False,False,False
E00038,MC.PA,False,False,False
E00039,MC.PA,False,False,False
E00040,MC.PA,False,False,False
E00041,MC.PA,False,False,False
E00042,MC.PA,False,False,False
E00043,MC.PA,False,False,False
E00044,MC.PA,False,False,False
E00045,MC.PA,False,False,False
E00046,MC.PA,False,False,False
E00047,MC.PA,False,False,False
E00048,MC.PA,False,False,False
E00049,MC.PA,False,False,False
E00050,MC.PA,False,False,False
E00051,MC.PA,False,False,False
E00053,MC.PA,False,False,False
E00054,MC.PA,False,False,False
E00055,MC.PA,False,False,False
E00056,MC.PA,False,False,False
E00057,MC.PA,False,False,False
E00058,MC.PA,False,False,False
E00059,MC.PA,False,False,False
E00060,MC.PA,False,False,False
E00061,MC.PA,False,False,False
E00062,MC.PA,False,False,False
E00063,MC.PA,False,False,False
E00064,MC.PA,False,False,False
E00065,MC.PA,False,False,False
E00066,MC.PA,False,False,False
E00067,MC.PA,False,False,False
E00068,MC.PA,False,False,False
E00069,MC.PA,False,False,False
E00070,MC.PA,False,False,False
E00071,MC.PA,False,False,False
E00072,MC.PA,False,False,False
E00073,MC.PA,False,False,False
E00074,MC.PA,False,False,False
E00075,MC.PA,False,False,False
E00076,MC.PA,False,False,False
E00077,MC.PA,False,False,False
E00078,MC.PA,False,False,False
E00079,MC.PA,False,False,False
E00080,MC.PA,False,False,False
E00081,MC.PA,False,False,False
E00082,MC.PA,False,False,False
E00083,MC.PA,False,False,False
E00084,MC.PA,False,False,False
