ticker,company,type,benchmark,t0_date,available_post_days,CAR_pre30,CAR_pre10,CAR_pre5,CAR_0to1,CAR_0to5,CAR_0to10,CAR_0to30,AR_t1,AR_t5,AR_t10,status,event,event_date
MC.PA,LVMH,Conglomerate,^FCHI,2006-06-30,5075.0,-0.018487141482462863,-0.017053942239450826,0.0035223275533292197,0.012972405363492442,-0.00172093981086726,-0.022809334596268833,-0.028645681139694658,0.0002689965432443853,-0.0039630984717867225,-0.021203206622255593,ok,DWP1,2006-06-30
KER.PA,Kering,Conglomerate,^FCHI,2006-06-30,5075.0,0.04954403511259062,-0.0042733342907813245,-0.0027033243101430692,-0.013787309086819096,-0.027620460228796162,0.010974878801210508,-0.004289029653709207,-0.003449510489626823,-0.006089673240284168,0.0077786339503323546,ok,DWP1,2006-06-30
CPRI,,,,,,,,,,,,,,,,pre-window before listing,DWP1,2006-06-30
TPR,Tapestry,Conglomerate,^GSPC,2006-06-30,4992.0,-0.014098448813203008,-0.015914249804540186,0.010277611173477443,-0.009119896504043825,-0.03951440941280851,-0.09067918578038435,0.01642829150656945,-0.02164157951061111,-0.007102664064669955,-0.006974382625060325,ok,DWP1,2006-06-30
PVH,PVH Corp,Conglomerate,^GSPC,2006-06-30,4992.0,-0.009434252125626326,0.04659554759143971,0.02774570457521141,0.005124592896579705,-0.028675681048264994,-0.09250791288718337,-0.055914446591619,-0.013089858464386385,0.0001845865355271461,-0.008805427698873856,ok,DWP1,2006-06-30
RMS.PA,Hermes,Pure-play,^FCHI,2006-06-30,5075.0,0.10950121818564029,-0.02420783987413092,-0.018900337317548283,-0.005526847874761029,-0.013423167082430344,-0.012744387966932919,-0.09720236415313264,-0.018982792842940563,0.0025685555835352823,0.014892348679610323,ok,DWP1,2006-06-30
BRBY.L,Burberry,Pure-play,^FTSE,2006-06-30,5014.0,-0.058127038790072666,-0.026612775702175198,-0.03053199105779151,0.009315404354564193,0.05287611697758186,0.08137114244253035,0.11700133377016098,-0.005222480991246227,0.01977906935221804,-0.002148153646388644,ok,DWP1,2006-06-30
1913.HK,,,,,,,,,,,,,,,,pre-window before listing,DWP1,2006-06-30
BC.MI,,,,,,,,,,,,,,,,pre-window before listing,DWP1,2006-06-30
MONC.MI,,,,,,,,,,,,,,,,pre-window before listing,DWP1,2006-06-30
BOSS.DE,Hugo Boss,Pure-play,^GDAXI,2006-06-30,5038.0,0.02383444390213676,-0.033517961798891494,-0.020131281266345787,0.00341011796700909,-0.012650807645610777,-0.017855028570814863,0.01857540471236055,0.012105905795600093,-0.004515968154750487,-0.018512802064607533,ok,DWP1,2006-06-30
RL,Ralph Lauren,Pure-play,^GSPC,2006-06-30,4992.0,-0.05780484557585741,-0.013197272878136178,-0.01962680559728664,-0.011239127798986477,-0.0457365073365429,-0.10184500000668352,0.049796522267953086,-0.017903014036799364,-0.009325827290680318,-0.007352649268551043,ok,DWP1,2006-06-30
SFER.MI,,,,,,,,,,,,,,,,pre-window before listing,DWP1,2006-06-30
MC.PA,LVMH,Conglomerate,^FCHI,2026-05-04,2.0,-0.04642676356571239,-0.0356027827839826,-0.021441412748784437,0.005496986541909733,,,,0.00264652109753097,,,ok,DWP2,2026-05-01
KER.PA,Kering,Conglomerate,^FCHI,2026-05-04,2.0,-0.07972615217497227,-0.03855207997052685,-0.009599652774620956,-0.014133900863079009,,,,-0.007891854433792311,,,ok,DWP2,2026-05-01
CPRI,Capri Holdings,Conglomerate,^GSPC,2026-05-01,3.0,-0.015570159851353073,-0.03930600589015215,-0.07519145587305802,-0.04608165011408804,,,,-0.04928939959680871,,,ok,DWP2,2026-05-01
TPR,Tapestry,Conglomerate,^GSPC,2026-05-01,3.0,-0.051228623471233956,-0.06175690122695525,-0.023728962752666116,-0.03607951492131821,,,,-0.01717077710459057,,,ok,DWP2,2026-05-01
PVH,PVH Corp,Conglomerate,^GSPC,2026-05-01,3.0,0.3012840246027881,-0.0017619997693300192,-0.055925700331383485,-0.03311724792530743,,,,-0.032378002977664196,,,ok,DWP2,2026-05-01
RMS.PA,Hermes,Pure-play,^FCHI,2026-05-04,2.0,-0.1362911554277923,0.006837047253698379,-0.016865762719045586,-0.015614608013082365,,,,-0.011062842748780449,,,ok,DWP2,2026-05-01
