event_id,ticker,brand_slug,season,year,reason
E00000,MC.PA,louis-vuitton,spring,2000,pre-window before listing (i0=0)
E00052,MC.PA,dior,spring,2000,pre-window before listing (i0=0)
E00104,KER.PA,gucci,spring,2000,pre-window before listing (i0=0)
E00156,KER.PA,saint-laurent,spring,2000,pre-window before listing (i0=0)
E00208,KER.PA,bottega-veneta,spring,2000,pre-window before listing (i0=0)
E00209,KER.PA,bottega-veneta,fall,2000,pre-window before listing (i0=25)
E00316,PVH,calvin-klein,spring,2000,pre-window before listing (i0=0)
E00317,PVH,calvin-klein,fall,2000,pre-window before listing (i0=27)
E00355,PVH,tommy-hilfiger,spring,2000,pre-window before listing (i0=0)
E00356,PVH,tommy-hilfiger,fall,2000,pre-window before listing (i0=24)
E00395,RMS.PA,hermes,spring,2000,pre-window before listing (i0=0)
E00396,RMS.PA,hermes,fall,2000,pre-window before listing (i0=21)
E00441,BRBY.L,burberry,spring,2000,pre-window before listing (i0=0)
E00442,BRBY.L,burberry,fall,2000,pre-window before listing (i0=0)
E00443,BRBY.L,burberry,spring,2001,pre-window before listing (i0=0)
E00444,BRBY.L,burberry,fall,2001,pre-window before listing (i0=0)
E00445,BRBY.L,burberry,spring,2002,pre-window before listing (i0=0)
E00446,BRBY.L,burberry,fall,2002,pre-window before listing (i0=0)
E00492,1913.HK,prada,spring,2000,pre-window before listing (i0=0)
E00493,1913.HK,prada,fall,2000,pre-window before listing (i0=0)
E00494,1913.HK,prada,spring,2001,pre-window before listing (i0=0)
E00495,1913.HK,prada,fall,2001,pre-window before listing (i0=0)
E00496,1913.HK,prada,spring,2002,pre-window before listing (i0=0)
E00497,1913.HK,prada,fall,2002,pre-window before listing (i0=0)
E00498,1913.HK,prada,spring,2003,pre-window before listing (i0=0)
E00499,1913.HK,prada,fall,2003,pre-window before listing (i0=0)
E00500,1913.HK,prada,spring,2004,pre-window before listing (i0=0)
E00501,1913.HK,prada,fall,2004,pre-window before listing (i0=0)
E00502,1913.HK,prada,spring,2005,pre-window before listing (i0=0)
E00503,1913.HK,prada,fall,2005,pre-window before listing (i0=0)
E00504,1913.HK,prada,spring,2006,pre-window before listing (i0=0)
E00505,1913.HK,prada,fall,2006,pre-window before listing (i0=0)
E00506,1913.HK,prada,spring,2007,pre-window before listing (i0=0)
E00507,1913.HK,prada,fall,2007,pre-window before listing (i0=0)
E00508,1913.HK,prada,spring,2008,pre-window before listing (i0=0)
E00544,1913.HK,miu-miu,spring,2000,pre-window before listing (i0=0)
E00545,1913.HK,miu-miu,fall,2000,pre-window before listing (i0=0)
E00546,1913.HK,miu-miu,spring,2001,pre-window before listing (i0=0)
E00547,1913.HK,miu-miu,fall,2001,pre-window before listing (i0=0)
E00548,1913.HK,miu-miu,spring,2002,pre-window before listing (i0=0)
E00549,1913.HK,miu-miu,fall,2002,pre-window before listing (i0=0)
E00550,1913.HK,miu-miu,spring,2003,pre-window before listing (i0=0)
E00551,1913.HK,miu-miu,fall,2003,pre-window before listing (i0=0)
E00552,1913.HK,miu-miu,spring,2004,pre-window before listing (i0=0)
E00553,1913.HK,miu-miu,fall,2004,pre-window before listing (i0=0)
E00554,1913.HK,miu-miu,spring,2005,pre-window before listing (i0=0)
E00555,1913.HK,miu-miu,fall,2005,pre-window before listing (i0=0)
E00556,1913.HK,miu-miu,spring,2006,pre-window before listing (i0=0)
E00557,1913.HK,miu-miu,fall,2006,pre-window before listing (i0=0)
E00558,1913.HK,miu-miu,spring,2007,pre-window before listing (i0=0)
E00559,1913.HK,miu-miu,fall,2007,pre-window before listing (i0=0)
