brand_slug,ticker,season,year,show_date,designer,source_url
louis-vuitton,MC.PA,spring,2000,1999-10-03,,https://www.vogue.com/fashion-shows/spring-2000-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,fall,2000,2000-02-27,,https://www.vogue.com/fashion-shows/fall-2000-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,spring,2001,2000-10-10,,https://www.vogue.com/fashion-shows/spring-2001-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,fall,2001,2001-03-11,,https://www.vogue.com/fashion-shows/fall-2001-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,spring,2002,2001-10-11,,https://www.vogue.com/fashion-shows/spring-2002-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,fall,2002,2002-03-10,,https://www.vogue.com/fashion-shows/fall-2002-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,spring,2003,2002-10-06,,https://www.vogue.com/fashion-shows/spring-2003-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,fall,2003,2003-03-09,,https://www.vogue.com/fashion-shows/fall-2003-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,spring,2004,2003-10-11,,https://www.vogue.com/fashion-shows/spring-2004-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,fall,2004,2004-03-06,,https://www.vogue.com/fashion-shows/fall-2004-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,spring,2005,2004-10-09,,https://www.vogue.com/fashion-shows/spring-2005-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,fall,2005,2005-03-05,,https://www.vogue.com/fashion-shows/fall-2005-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,spring,2006,2005-10-08,,https://www.vogue.com/fashion-shows/spring-2006-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,fall,2006,2006-03-04,,https://www.vogue.com/fashion-shows/fall-2006-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,spring,2007,2006-10-07,,https://www.vogue.com/fashion-shows/spring-2007-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,fall,2007,2007-03-03,,https://www.vogue.com/fashion-shows/fall-2007-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,spring,2008,2007-10-06,,https://www.vogue.com/fashion-shows/spring-2008-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,fall,2008,2008-03-01,,https://www.vogue.com/fashion-shows/fall-2008-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,spring,2009,2008-10-04,,https://www.vogue.com/fashion-shows/spring-2009-ready-to-wear/louis-vuitton
louis-vuitton,MC.PA,fall,2009,2009-03-11,,https://www.vogue.com/fashion-shows/fall-2009-ready-to-wear/louis-vuitton
